approach,time_period,observations,mean_hourly_count,median_hourly_count,min_hourly_count,max_hourly_count,lambda_vehicles_per_second,mean_interarrival_seconds
E,Morning peak (07-09),33,2089.3939393939395,2193.0,1404.0,2739.0,0.5803872053872055,1.722987672226251
E,Midday (10-15),66,1859.5757575757575,1805.0,1383.0,2752.0,0.5165488215488215,1.9359254310204348
E,Evening peak (16-18),33,2370.4242424242425,2461.0,1784.0,2914.0,0.6584511784511785,1.5187154837390058
N,Morning peak (07-09),33,257.6060606060606,252.0,182.0,391.0,0.07155723905723906,13.974826491001057
N,Midday (10-15),66,343.530303030303,334.0,209.0,527.0,0.09542508417508416,10.479424866581397
N,Evening peak (16-18),33,685.8181818181819,728.0,427.0,1043.0,0.1905050505050505,5.249204665959702
S,Morning peak (07-09),33,542.6363636363636,617.0,292.0,747.0,0.15073232323232322,6.634277098341431
S,Midday (10-15),66,295.07575757575756,289.5,227.0,447.0,0.08196548821548821,12.2002567394095
S,Evening peak (16-18),33,399.42424242424244,403.0,292.0,639.0,0.11095117845117845,9.012973219027387
W,Morning peak (07-09),33,2494.3333333333335,2570.0,1960.0,3097.0,0.6928703703703704,1.4432714152078043
W,Midday (10-15),66,1762.0151515151515,1727.5,1519.0,2187.0,0.4894486531986532,2.043115234794872
W,Evening peak (16-18),33,2200.6060606060605,2169.0,1832.0,2699.0,0.6112794612794612,1.635912971633159
